latitude,longitude,pwat_inches,index_right,id,name
41.77750501328225,-86.75510252731107,0.18818898,21,MI,Michigan
41.77436260557427,-86.71923293718851,0.19094488,21,MI,Michigan
41.771209763427926,-86.68336663663541,0.19173229,21,MI,Michigan
41.76804648818874,-86.64750363609062,0.19133858,21,MI,Michigan
41.7648727812067,-86.61164394598711,0.18937008,21,MI,Michigan
41.76168864383605,-86.5757875767519,0.19094488,21,MI,Michigan
41.80425510152644,-86.75089405898296,0.18937008,21,MI,Michigan
41.801111555054156,-86.7150106774302,0.19212599,21,MI,Michigan
41.79795757038616,-86.67913058927792,0.19133858,21,MI,Michigan
41.79479314886873,-86.64325380497678,0.19251968,21,MI,Michigan
41.791618291852515,-86.60738033497125,0.1929134,21,MI,Michigan
41.78843300069251,-86.57151018970018,0.19133858,21,MI,Michigan
41.7852372767481,-86.53564337959614,0.19094488,21,MI,Michigan
41.782031121383035,-86.49977991508598,0.18937008,21,MI,Michigan
41.77881453596539,-86.4639198065903,0.18897639,21,MI,Michigan
41.775587521867706,-86.42806306452383,0.19055119,21,MI,Michigan
41.772350080466786,-86.39220969929522,0.18976378,21,MI,Michigan
41.76910221314379,-86.35635972130694,0.18858267,21,MI,Michigan
41.76584392128427,-86.32051314095565,0.18858267,21,MI,Michigan
41.762575206278186,-86.28466996863165,0.18976378,21,MI,Michigan
41.827859622427965,-86.71078512427039,0.18818898,21,MI,Michigan
41.82470449507252,-86.67489123806843,0.19133858,21,MI,Michigan
41.82153892711052,-86.6390006595662,0.19251968,21,MI,Michigan
41.81836291989331,-86.60311339922004,0.1929134,21,MI,Michigan
41.81517647477667,-86.56722946748039,0.19330709,21,MI,Michigan
41.81197959312063,-86.53134887479149,0.19173229,21,MI,Michigan
41.80877227628977,-86.49547163159184,0.18897639,21,MI,Michigan
41.80555452565284,-86.45959774831368,0.18700787,21,MI,Michigan
41.80232634258307,-86.42372723538347,0.18661417,21,MI,Michigan
41.79908772845808,-86.38786010322127,0.18700787,21,MI,Michigan
41.795838684659735,-86.35199636224144,0.18622048,21,MI,Michigan
41.792579212574374,-86.31613602285199,0.18700787,21,MI,Michigan
41.789309313592604,-86.28027909545494,0.18937008,21,MI,Michigan
41.78602898910945,-86.24442559044616,0.18976378,21,MI,Michigan
41.78273824052429,-86.20857551821535,0.18976378,21,MI,Michigan
41.779437069240835,-86.17272888914619,0.19173229,21,MI,Michigan
41.776125476667154,-86.13688571361592,0.1929134,21,MI,Michigan
41.772803464215656,-86.10104600199594,0.19330709,21,MI,Michigan
41.76947103330312,-86.06520976465112,0.19094488,21,MI,Michigan
41.766128185350674,-86.02937701194026,0.19055119,21,MI,Michigan
41.76277492178378,-85.99354775421591,0.19133858,21,MI,Michigan
41.85145053123207,-86.67064857915818,0.19173229,21,MI,Michigan
41.84828381665924,-86.63474419599856,0.19212599,21,MI,Michigan
41.84510665907427,-86.5988431348614,0.19133858,21,MI,Michigan
41.841919059833685,-86.56294540620877,0.19409448,21,MI,Michigan
41.83872102029827,-86.52705102049663,0.19409448,21,MI,Michigan
41.835512541833296,-86.49115998817513,0.19133858,21,MI,Michigan
41.832293625808305,-86.45527231968822,0.18976378,21,MI,Michigan
41.829064273597226,-86.41938802547395,0.1874016,21,MI,Michigan
41.82582448657838,-86.38350711596405,0.18503937,21,MI,Michigan
41.82257426613446,-86.34762960158452,0.1874016,21,MI,Michigan
41.819313613652454,-86.31175549275491,0.18818898,21,MI,Michigan
41.81604253052379,-86.27588479988896,0.1874016,21,MI,Michigan
41.81276101814422,-86.24001753339394,0.18818898,21,MI,Michigan
41.80946907791385,-86.20415370367141,0.18937008,21,MI,Michigan
41.80616671123717,-86.16829332111632,0.18897639,21,MI,Michigan
41.80285391952297,-86.13243639611767,0.19173229,21,MI,Michigan
41.79953070418444,-86.09658293905835,0.19212599,21,MI,Michigan
41.79619706663913,-86.06073296031468,0.19133858,21,MI,Michigan
41.79285300830891,-86.02488647025717,0.19133858,21,MI,Michigan
41.78949853062,-85.98904347924969,0.19173229,21,MI,Michigan
41.78613363500298,-85.95320399765018,0.19094488,21,MI,Michigan
41.782758322892775,-85.91736803581,0.19173229,21,MI,Michigan
41.77937259572869,-85.88153560407443,0.19212599,21,MI,Michigan
41.77597645495427,-85.84570671278243,0.19133858,21,MI,Michigan
41.77256990201752,-85.80988137226637,0.19015747,21,MI,Michigan
41.7691529383707,-85.77405959285255,0.18976378,21,MI,Michigan
41.7657255654705,-85.73824138486077,0.18858267,21,MI,Michigan
41.762287784777854,-85.70242675860447,0.18897639,21,MI,Michigan
41.87502781125818,-86.63048441040752,0.18858267,21,MI,Michigan
41.871849503138684,-86.59456953801725,0.19055119,21,MI,Michigan
41.8686607496069,-86.55865800199558,0.19212599,21,MI,Michigan
41.86546155202433,-86.52274981281022,0.1929134,21,MI,Michigan
41.862251911757,-86.48684498092285,0.19330709,21,MI,Michigan
41.859031830175155,-86.45094351678921,0.1929134,21,MI,Michigan
41.8558013086535,-86.41504543085892,0.19212599,21,MI,Michigan
41.852560348571075,-86.37915073357556,0.18937008,21,MI,Michigan
41.849308951311286,-86.34325943537652,0.1929134,21,MI,Michigan
41.846047118261964,-86.30737154669322,0.19251968,21,MI,Michigan
41.84277485081517,-86.27148707795078,0.18858267,21,MI,Michigan
41.83949215036746,-86.23560603956838,0.18858267,21,MI,Michigan
41.83619901831964,-86.19972844195888,0.19055119,21,MI,Michigan
41.832895456077026,-86.16385429552895,0.18818898,21,MI,Michigan
41.82958146504912,-86.12798361067922,0.18858267,21,MI,Michigan
41.826257046649886,-86.09211639780392,0.18700787,21,MI,Michigan
41.8229222022976,-86.05625266729118,0.18818898,21,MI,Michigan
41.819576933414936,-86.02039242952281,0.18976378,21,MI,Michigan
41.81622124142885,-85.98453569487452,0.19055119,21,MI,Michigan
41.8128551277707,-85.9486824737154,0.18897639,21,MI,Michigan
41.80947859387619,-85.91283277640855,0.18976378,21,MI,Michigan
41.806091641185354,-85.87698661331069,0.19133858,21,MI,Michigan
41.80269427114255,-85.84114399477215,0.19094488,21,MI,Michigan
41.79928648519657,-85.80530493113685,0.18937008,21,MI,Michigan
41.79586828480042,-85.7694694327426,0.19015747,21,MI,Michigan
41.79243967141155,-85.73363750992053,0.19015747,21,MI,Michigan
41.789000646491694,-85.69780917299556,0.19015747,21,MI,Michigan
41.78555121150698,-85.66198443228609,0.19015747,21,MI,Michigan
41.782091367927784,-85.62616329810419,0.1874016,21,MI,Michigan
41.77862111722887,-85.59034578075546,0.18700787,21,MI,Michigan
41.77514046088936,-85.55453189053895,0.18779528,21,MI,Michigan
41.771649400392675,-85.51872163774738,0.18503937,21,MI,Michigan
41.768147937226566,-85.48291503266682,0.18503937,21,MI,Michigan
41.76463607288313,-85.44711208557686,0.18543307,21,MI,Michigan
41.76111380885874,-85.41131280675074,0.18622048,21,MI,Michigan
41.699645640220055,-84.80329623373115,0.18110237,21,MI,Michigan
41.69593644274915,-84.7675647328129,0.18307087,21,MI,Michigan
41.898591445828316,-86.59029260480361,0.18818898,21,MI,Michigan
41.895401537838026,-86.55436725094512,0.19015747,21,MI,Michigan
41.89220118204059,-86.51844524782467,0.19055119,21,MI,Michigan
41.88899037980259,-86.48252660591578,0.19015747,21,MI,Michigan
41.88576913249517,-86.44661133568582,0.18858267,21,MI,Michigan
41.88253744149368,-86.41069944759602,0.19251968,21,MI,Michigan
41.879295308177916,-86.37479095210165,0.19409448,21,MI,Michigan
41.87604273393207,-86.33888585965184,0.1929134,21,MI,Michigan
41.872779720144614,-86.30298418068958,0.19330709,21,MI,Michigan
41.86950626820849,-86.26708592565171,0.19094488,21,MI,Michigan
41.8662223795209,-86.2311911049689,0.19094488,21,MI,Michigan
41.86292805548347,-86.19529972906565,0.18976378,21,MI,Michigan
41.85962329750219,-86.15941180836046,0.1874016,21,MI,Michigan
41.85630810698739,-86.12352735326522,0.18661417,21,MI,Michigan
41.85298248535376,-86.08764637418597,0.18622048,21,MI,Michigan
41.84964643402034,-86.05176888152226,0.18622048,21,MI,Michigan
41.84629995441056,-86.01589488566759,0.18779528,21,MI,Michigan
41.84294304795218,-85.980024397009,0.18858267,21,MI,Michigan
41.83957571607727,-85.94415742592736,0.1874016,21,MI,Michigan
41.8361979602223,-85.90829398279715,0.1874016,21,MI,Michigan
41.83280978182813,-85.87243407798655,0.18858267,21,MI,Michigan
41.829411182339854,-85.83657772185745,0.18976378,21,MI,Michigan
41.82600216320704,-85.8007249247654,0.18818898,21,MI,Michigan
41.82258272588349,-85.76487569705932,0.18976378,21,MI,Michigan
41.81915287182741,-85.7290300490821,0.18976378,21,MI,Michigan
41.815712602501335,-85.69318799117002,0.19094488,21,MI,Michigan
